id_title,quote_orig,quote_eng,attrib_to,locus,locus_form,comment,used
agathon_past,"Μόνου γὰρ αὐτοῦ καὶ θεὸς στερίσκεται, ἀγένητα ποιεῖν ἅσσ᾽ ἂν ᾖ πεπραγμένα.","For only this is deprived even from a god, to make undone that has been done.",Attributed to Agathon by Aristotle,Arist. Eth. Nic. 1139b,𝐀𝐫𝐢𝐬𝐭. 𝑬𝒕𝒉. 𝑵𝒊𝒄. 𝟏𝟏𝟑𝟗𝐛,The object of Choice can only be something that is within one's reach. Changing the past is beyond even a god's power.,0
cicero_inter_arma,Silent enim leges inter arma.,For the laws are silent among arms.,M. Tullius Cicero,Cic. Mil. 11,𝐂𝐢𝐜. 𝑴𝒊𝒍. 𝟏𝟏,"Became a maxim about wartime emergency measures. In its original context, Cicero advocates for armed self-defence.",0
heraclitus_flow,Πάντα χωρεῖ καὶ οὐδὲν μένει.,Everything flows and nothing stands still.,Attributed to Heraclitus by Plato,Pl. Cra. 402a,𝐏𝐥. 𝑪𝒓𝒂. 𝟒𝟎𝟐𝐚,One of the most famous lines attributed to the pre-Socratic philosopher. Encapsulates a view of a Cosmos that is in constant flux.,0
horatius_brevity,"Brevis esse laboro, obscurus fio.","I strive to be brief, I become obscure.",Q. Horatius Flaccus,Hor. Ars P. 1.25,𝐇𝐨𝐫. 𝑨𝒓𝒔 𝑷. 𝟏.𝟐𝟓,One of the cardinal mistakes a poet can commit.,0
marc_aur_democrates_change,"Ὁ κόσμος ἀλλοίωσις, ὁ βίος ὑπόληψις.","The universe is change, life is assumption.",Marcus Aurelius quoting Democrates,M. Aur. Med. 4.3,𝐌. 𝐀𝐮𝐫. 𝑴𝒆𝒅. 𝟒.𝟑,"External factors are temporal, internal perception is subjective. Keeping these in mind helps to achieve peace in one's soul.",0
marc_aur_good,"Τὸ χρεὼν ἐπήρτηται: ἕως ζῇς, ἕως ἔξεστιν, ἀγαθὸς γενοῦ.","Fate hangs above: while you live, while it is possible, become good!",Emperor Marcus Aurelius,M. Aur. Med. 4.17,𝐌. 𝐀𝐮𝐫. 𝑴𝒆𝒅. 𝟒.𝟏𝟕,The transience of life frequently appears as an incentive to act in the Meditations.,0
marc_aur_straight,"Ὀρθὸν οὖν εἶναι χρή, οὐχὶ ὀρθούμενον.","Therefore, one should be straight, not straightened.",Emperor Marcus Aurelius,M. Aur. Med. 3.5,𝐌. 𝐀𝐮𝐫. 𝑴𝒆𝒅. 𝟑.𝟓,Expresses the need to be proper and righteous solely by inner volition.,0
petronius_rich,Amor ingenii neminem unquam divitem fecit.,The love of creativity has never made anyone rich.,Petronius Arbiter,Petron. Sat. 83,𝐏𝐞𝐭𝐫𝐨𝐧. 𝑺𝒂𝒕. 𝟖𝟑,A poet character's explanation for his poor clothing.,0
socrates_know,Ipse se nihil scire id unum sciat.,He himself knows only one thing that he knows nothing.,M. Tullius Cicero about Socrates,Cic. Acad. post. 1.16,𝐂𝐢𝐜. 𝑨𝒄𝒂𝒅. 𝒑𝒐𝒔𝒕. 𝟏.𝟏𝟔,Famous paraphrase of Socrates' views on the limits of knowledge.,0
socrates_no_need,Πόσων ἐγὼ χρείαν οὐκ ἔχω.,How many thing I don't have the need for!,Attributed to Socrates by Diogenes Laertius,Diog. Laert. 2.25,𝐃𝐢𝐨𝐠. 𝐋𝐚𝐞𝐫𝐭. 𝟐.𝟐𝟓,Socrates seeing the multitude of wares in the market.,0
